Title,Price,URL,Image
"Carolina Herrera Good Girl Eau de Parfum","2,230,000₫","/products/nuoc-hoa-nu-carolina-herrera-good-girl","https://product.hstatic.net/1000340570/product/carolina-herrera-good-girl-eau-de-parfum-80ml_3e83d631aecf4d5fbb1fca4e34e383a2_grande.jpg"
"Versace Eros For Men","2,600,000₫","/products/nuoc-hoa-versace-eros","https://product.hstatic.net/1000340570/product/versace-eros-for-men_e21f596ba1f6467eb39ace8813943882_grande.jpg"
"Jean Paul Gaultier Scandal","2,990,000₫","/products/nuoc-hoa-nu-scandal-jean-paul-gaultier","https://cdn.hstatic.net/products/1000340570/jean-paul-scandal-edp-80ml_b39ed3eafccf42dd8b1f6123bb033808_grande.jpg"
"Moschino Toy 2 For Woman","2,500,000₫","/products/nuoc-hoa-nu-moschino-toy-2-edp","https://product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg"
"Marc Jacobs Daisy Dream","2,390,000₫","/products/nuoc-hoa-nu-marc-jacobs-daisy-dream","https://product.hstatic.net/1000340570/product/full_17bcae326b9040c383627b14f7eec505_grande.jpg"
"Versace Pour Homme","2,300,000₫","/products/nuoc-hoa-versace-pour-homme","https://product.hstatic.net/1000340570/product/versace-pour-homme_aac4a84bdbdf400fb3140f176b64373a_grande.jpg"
"Versace Bright Crystal","1,480,000₫","/products/nuoc-hoa-versace-bright-crystal","https://product.hstatic.net/1000340570/product/versace-bright-crystal_405b9f59113d48dea5e79fd1dd3a99e9_grande.jpg"
"Gucci Bloom Eau de Parfum For Her","3,800,000₫","/products/nuoc-hoa-nu-gucci-bloom","https://product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg"
"Carolina Herrera Good Girl Eau de Parfum","2,230,000₫","/products/nuoc-hoa-nu-carolina-herrera-good-girl","https://product.hstatic.net/1000340570/product/carolina-herrera-good-girl-eau-de-parfum-80ml_3e83d631aecf4d5fbb1fca4e34e383a2_grande.jpg"
"Versace Eros For Men","2,600,000₫","/products/nuoc-hoa-versace-eros","https://product.hstatic.net/1000340570/product/versace-eros-for-men_e21f596ba1f6467eb39ace8813943882_grande.jpg"
"Jean Paul Gaultier Scandal","2,990,000₫","/products/nuoc-hoa-nu-scandal-jean-paul-gaultier","https://cdn.hstatic.net/products/1000340570/jean-paul-scandal-edp-80ml_b39ed3eafccf42dd8b1f6123bb033808_grande.jpg"
"Moschino Toy 2 For Woman","2,500,000₫","/products/nuoc-hoa-nu-moschino-toy-2-edp","https://product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg"
"Marc Jacobs Daisy Dream","2,390,000₫","/products/nuoc-hoa-nu-marc-jacobs-daisy-dream","https://product.hstatic.net/1000340570/product/full_17bcae326b9040c383627b14f7eec505_grande.jpg"
"Versace Pour Homme","2,300,000₫","/products/nuoc-hoa-versace-pour-homme","https://product.hstatic.net/1000340570/product/versace-pour-homme_aac4a84bdbdf400fb3140f176b64373a_grande.jpg"
"Versace Bright Crystal","1,480,000₫","/products/nuoc-hoa-versace-bright-crystal","https://product.hstatic.net/1000340570/product/versace-bright-crystal_405b9f59113d48dea5e79fd1dd3a99e9_grande.jpg"
"Gucci Bloom Eau de Parfum For Her","3,800,000₫","/products/nuoc-hoa-nu-gucci-bloom","https://product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg"
"Carolina Herrera Good Girl Eau de Parfum","2,230,000₫","/products/nuoc-hoa-nu-carolina-herrera-good-girl","https://product.hstatic.net/1000340570/product/carolina-herrera-good-girl-eau-de-parfum-80ml_3e83d631aecf4d5fbb1fca4e34e383a2_grande.jpg"
"Versace Eros For Men","2,600,000₫","/products/nuoc-hoa-versace-eros","https://product.hstatic.net/1000340570/product/versace-eros-for-men_e21f596ba1f6467eb39ace8813943882_grande.jpg"
"Jean Paul Gaultier Scandal","2,990,000₫","/products/nuoc-hoa-nu-scandal-jean-paul-gaultier","https://cdn.hstatic.net/products/1000340570/jean-paul-scandal-edp-80ml_b39ed3eafccf42dd8b1f6123bb033808_grande.jpg"
"Gucci Flora Gorgeous Jasmine Mini Size","480,000₫","/products/gucci-flora-gorgeous-jasmine-mini-size","https://product.hstatic.net/1000340570/product/gucci-flora-gorgeous-jasmine-mini-size_2dfddfdb0b734a1298e4542938354742_grande.jpg"
"Gucci Bloom Eau de Parfum For Her Mini Size","480,000₫","/products/gucci-bloom-eau-de-parfum-for-her-mini-size","https://product.hstatic.net/1000340570/product/gucci-bloom_02f6ff28224143c6a358b788b3e4911c_grande.jpg"
"Gucci Flora Gorgeous Magnolia Mini Size","480,000₫","/products/gucci-flora-gorgeous-magnolia-mini-size","https://product.hstatic.net/1000340570/product/gucci-magnolia-mini-size_af0210969fad4cbb83dc38a0508377f1_grande.jpg"
"Rabanne 1 Million Mini Size","360,000₫","/products/rabanne-1-million-mini-size","https://product.hstatic.net/1000340570/product/nuoc-hoa-paco-rabane-mini-1-million_43e1f19f323f46f0838a996fd68e7ff6_grande.jpg"
"Calvin Klein My Euphoria Mini Size","390,000₫","/products/calvin-klein-my-euphoria-mini-size","https://product.hstatic.net/1000340570/product/calvin-klein-my-euphoria-mini-size_7a1d76ef93584eb9b263a54326a6a568_grande.jpg"
"Rabanne Phantom Mini Size","360,000₫","/products/rabanne-phantom-mini-size","https://product.hstatic.net/1000340570/product/paco-rabane-edt-mini_5433b72258b84fe19093d299e3bba094_grande.jpg"
"Rabanne Fame Parfum Mini Size","350,000₫","/products/rabanne-fame-parfum-mini-size","https://product.hstatic.net/1000340570/product/fame-parfum-mini-size-4ml_34a898fa1f0542d9a03434f713ed9231_grande.jpg"
"Moschino Toy 2 Mini Size","380,000₫","/products/moschino-toy-2-mini-size","https://product.hstatic.net/1000340570/product/toy-2_e8763e1a84c740abbec90c909ddc4ed5_grande.jpg"
"Gucci Flora Gorgeous Jasmine Mini Size","480,000₫","/products/gucci-flora-gorgeous-jasmine-mini-size","https://product.hstatic.net/1000340570/product/gucci-flora-gorgeous-jasmine-mini-size_2dfddfdb0b734a1298e4542938354742_grande.jpg"
"Gucci Bloom Eau de Parfum For Her Mini Size","480,000₫","/products/gucci-bloom-eau-de-parfum-for-her-mini-size","https://product.hstatic.net/1000340570/product/gucci-bloom_02f6ff28224143c6a358b788b3e4911c_grande.jpg"
"Gucci Flora Gorgeous Magnolia Mini Size","480,000₫","/products/gucci-flora-gorgeous-magnolia-mini-size","https://product.hstatic.net/1000340570/product/gucci-magnolia-mini-size_af0210969fad4cbb83dc38a0508377f1_grande.jpg"
"Rabanne 1 Million Mini Size","360,000₫","/products/rabanne-1-million-mini-size","https://product.hstatic.net/1000340570/product/nuoc-hoa-paco-rabane-mini-1-million_43e1f19f323f46f0838a996fd68e7ff6_grande.jpg"
"Calvin Klein My Euphoria Mini Size","390,000₫","/products/calvin-klein-my-euphoria-mini-size","https://product.hstatic.net/1000340570/product/calvin-klein-my-euphoria-mini-size_7a1d76ef93584eb9b263a54326a6a568_grande.jpg"
"Rabanne Phantom Mini Size","360,000₫","/products/rabanne-phantom-mini-size","https://product.hstatic.net/1000340570/product/paco-rabane-edt-mini_5433b72258b84fe19093d299e3bba094_grande.jpg"
"Rabanne Fame Parfum Mini Size","350,000₫","/products/rabanne-fame-parfum-mini-size","https://product.hstatic.net/1000340570/product/fame-parfum-mini-size-4ml_34a898fa1f0542d9a03434f713ed9231_grande.jpg"
"Moschino Toy 2 Mini Size","380,000₫","/products/moschino-toy-2-mini-size","https://product.hstatic.net/1000340570/product/toy-2_e8763e1a84c740abbec90c909ddc4ed5_grande.jpg"
"Gucci Flora Gorgeous Jasmine Mini Size","480,000₫","/products/gucci-flora-gorgeous-jasmine-mini-size","https://product.hstatic.net/1000340570/product/gucci-flora-gorgeous-jasmine-mini-size_2dfddfdb0b734a1298e4542938354742_grande.jpg"
"Gucci Bloom Eau de Parfum For Her Mini Size","480,000₫","/products/gucci-bloom-eau-de-parfum-for-her-mini-size","https://product.hstatic.net/1000340570/product/gucci-bloom_02f6ff28224143c6a358b788b3e4911c_grande.jpg"
"Gucci Flora Gorgeous Magnolia Mini Size","480,000₫","/products/gucci-flora-gorgeous-magnolia-mini-size","https://product.hstatic.net/1000340570/product/gucci-magnolia-mini-size_af0210969fad4cbb83dc38a0508377f1_grande.jpg"
"Rabanne 1 Million Mini Size","360,000₫","/products/rabanne-1-million-mini-size","https://product.hstatic.net/1000340570/product/nuoc-hoa-paco-rabane-mini-1-million_43e1f19f323f46f0838a996fd68e7ff6_grande.jpg"
"Gift Set Rabanne 1 Million EDT 2pcs (EDT 100ml & Shower Gel 100ml)","3,030,000₫","/products/gift-set-rabanne-1-million-edt-2pcs-edt-100ml-shower-gel-100ml","https://product.hstatic.net/1000340570/product/gift_set_paco_rabanne_1_million_edt_2pcs_full_d7679af2f1fe448a92e999a1e70271a6_grande.jpg"
"Gift Set Jean Paul Gaultier Le Male Elixir 2pcs ( Parfum 125ml & Shower gel 75ml )","3,990,000₫","/products/gift-set-jean-paul-gaultier-le-male-elixir-2pcs-parfum-125ml-shower-gel-75ml","https://product.hstatic.net/1000340570/product/gift-set-jean-paul-gaultier-le-male-elixir-2pcs_d4dc9f8732424e08917b04302d16cad9_grande.jpg"
"Gift Set Gucci Flora Gorgeous Magnolia 3pcs (EDP 100ml & EDP 5ml & EDP 10ml)","4,480,000₫","/products/gift-set-gucci-flora-gorgeous-magnolia-3pcs-edp-100ml-edp-5ml-edp-10ml","https://cdn.hstatic.net/products/1000340570/gift-set-gucci-flora-gorgeous-magnolia_8e347740d32a473a8f3ae3d1540df8ab_grande.jpg"
"Gift Set Carolina Herrera Bad Boy Le Parfum 2pcs ( EDP 100ml & Shower gel 100ml )","3,200,000₫","/products/gift-set-carolina-herrera-bad-boy-le-parfum-2pcs-edp-100ml-shower-gel-100ml","https://product.hstatic.net/1000340570/product/rolina-herrera-bad-boy-le-parfum-2pcs-_-edp-100ml-_-shower-gel-100ml-__683fa0a426a8439e8af12e5086df535f_grande.jpg"
"Gift Set Jean Paul Gaultier Scandal Pour Homme 2pcs ( EDT 50ml & Douche Gel 75ml )","2,450,000₫","/products/gift-set-jean-paul-gaultier-scandal-pour-homme-2pcs-edt-50ml-douche-gel-75ml","https://product.hstatic.net/1000340570/product/scandal-set-50ml_4eb767f340ea4ef89cae726d6dbc9655_grande.jpg"
"Gift Set Jean Paul Gaultier Scandal 3pcs ( EDP 80ml & Lotion Dưỡng Da 75ml & EDP 10ml )","4,390,000₫","/products/gift-set-nuoc-hoa-nu-jean-paul-gaultier-scandal-3-pcs","https://product.hstatic.net/1000340570/product/gift-set-jean-paul-scandal-3pcs_-80ml-_-10ml-_-body-lotion-75ml__c08f83ca92e949e3a0d6082976bbafcb_grande.jpg"
"Gift Set Jean Paul Gaultier Scandal EDP 3pcs ( EDP 80ml & EDP 6ml & Dưỡng thể 75ml )","4,390,000₫","/products/gift-set-jean-paul-gaultier-scandal-edp-edp-80ml-edp-6ml-duong-the-75ml","https://cdn.hstatic.net/products/1000340570/gift-set-jean-paul-gaultier-scandal-edp-3pcs_dda15a7b2a88416ebaead429a014a558_grande.jpg"
"Gift Set Memo Eaux De Parfum EDP 1.5ml x 7 Units Samples","980,000₫","/products/gift-set-memo-eaux-de-parfum-edp-1-5ml-x-7-units-samples","https://product.hstatic.net/1000340570/product/setvial_8f9e4107f7544e3d8d68f97cd181347c_grande.jpg"
"Gift Set Rabanne 1 Million EDT 2pcs (EDT 100ml & Shower Gel 100ml)","3,030,000₫","/products/gift-set-rabanne-1-million-edt-2pcs-edt-100ml-shower-gel-100ml","https://product.hstatic.net/1000340570/product/gift_set_paco_rabanne_1_million_edt_2pcs_full_d7679af2f1fe448a92e999a1e70271a6_grande.jpg"
"Gift Set Jean Paul Gaultier Le Male Elixir 2pcs ( Parfum 125ml & Shower gel 75ml )","3,990,000₫","/products/gift-set-jean-paul-gaultier-le-male-elixir-2pcs-parfum-125ml-shower-gel-75ml","https://product.hstatic.net/1000340570/product/gift-set-jean-paul-gaultier-le-male-elixir-2pcs_d4dc9f8732424e08917b04302d16cad9_grande.jpg"
"Gift Set Gucci Flora Gorgeous Magnolia 3pcs (EDP 100ml & EDP 5ml & EDP 10ml)","4,480,000₫","/products/gift-set-gucci-flora-gorgeous-magnolia-3pcs-edp-100ml-edp-5ml-edp-10ml","https://cdn.hstatic.net/products/1000340570/gift-set-gucci-flora-gorgeous-magnolia_8e347740d32a473a8f3ae3d1540df8ab_grande.jpg"
"Gift Set Carolina Herrera Bad Boy Le Parfum 2pcs ( EDP 100ml & Shower gel 100ml )","3,200,000₫","/products/gift-set-carolina-herrera-bad-boy-le-parfum-2pcs-edp-100ml-shower-gel-100ml","https://product.hstatic.net/1000340570/product/rolina-herrera-bad-boy-le-parfum-2pcs-_-edp-100ml-_-shower-gel-100ml-__683fa0a426a8439e8af12e5086df535f_grande.jpg"
"Gift Set Jean Paul Gaultier Scandal Pour Homme 2pcs ( EDT 50ml & Douche Gel 75ml )","2,450,000₫","/products/gift-set-jean-paul-gaultier-scandal-pour-homme-2pcs-edt-50ml-douche-gel-75ml","https://product.hstatic.net/1000340570/product/scandal-set-50ml_4eb767f340ea4ef89cae726d6dbc9655_grande.jpg"
"Gift Set Jean Paul Gaultier Scandal 3pcs ( EDP 80ml & Lotion Dưỡng Da 75ml & EDP 10ml )","4,390,000₫","/products/gift-set-nuoc-hoa-nu-jean-paul-gaultier-scandal-3-pcs","https://product.hstatic.net/1000340570/product/gift-set-jean-paul-scandal-3pcs_-80ml-_-10ml-_-body-lotion-75ml__c08f83ca92e949e3a0d6082976bbafcb_grande.jpg"
"Gift Set Jean Paul Gaultier Scandal EDP 3pcs ( EDP 80ml & EDP 6ml & Dưỡng thể 75ml )","4,390,000₫","/products/gift-set-jean-paul-gaultier-scandal-edp-edp-80ml-edp-6ml-duong-the-75ml","https://cdn.hstatic.net/products/1000340570/gift-set-jean-paul-gaultier-scandal-edp-3pcs_dda15a7b2a88416ebaead429a014a558_grande.jpg"
"Gift Set Memo Eaux De Parfum EDP 1.5ml x 7 Units Samples","980,000₫","/products/gift-set-memo-eaux-de-parfum-edp-1-5ml-x-7-units-samples","https://product.hstatic.net/1000340570/product/setvial_8f9e4107f7544e3d8d68f97cd181347c_grande.jpg"
"Gift Set Rabanne 1 Million EDT 2pcs (EDT 100ml & Shower Gel 100ml)","3,030,000₫","/products/gift-set-rabanne-1-million-edt-2pcs-edt-100ml-shower-gel-100ml","https://product.hstatic.net/1000340570/product/gift_set_paco_rabanne_1_million_edt_2pcs_full_d7679af2f1fe448a92e999a1e70271a6_grande.jpg"
"Gift Set Jean Paul Gaultier Le Male Elixir 2pcs ( Parfum 125ml & Shower gel 75ml )","3,990,000₫","/products/gift-set-jean-paul-gaultier-le-male-elixir-2pcs-parfum-125ml-shower-gel-75ml","https://product.hstatic.net/1000340570/product/gift-set-jean-paul-gaultier-le-male-elixir-2pcs_d4dc9f8732424e08917b04302d16cad9_grande.jpg"
"Gift Set Gucci Flora Gorgeous Magnolia 3pcs (EDP 100ml & EDP 5ml & EDP 10ml)","4,480,000₫","/products/gift-set-gucci-flora-gorgeous-magnolia-3pcs-edp-100ml-edp-5ml-edp-10ml","https://cdn.hstatic.net/products/1000340570/gift-set-gucci-flora-gorgeous-magnolia_8e347740d32a473a8f3ae3d1540df8ab_grande.jpg"
"Gift Set Carolina Herrera Bad Boy Le Parfum 2pcs ( EDP 100ml & Shower gel 100ml )","3,200,000₫","/products/gift-set-carolina-herrera-bad-boy-le-parfum-2pcs-edp-100ml-shower-gel-100ml","https://product.hstatic.net/1000340570/product/rolina-herrera-bad-boy-le-parfum-2pcs-_-edp-100ml-_-shower-gel-100ml-__683fa0a426a8439e8af12e5086df535f_grande.jpg"